candle_24h,nb,V,V_EUR,Pmin,PQ1,Pmed,PQ3,Pmax,P_open,P_close,return
16656,3130,2388.4511148199763,0.0,239.1,241.17745,242.89,243.8310125,246.06,240.0,243.4,0.01416666666666669
16657,2997,3745.065701989981,0.0,240.8,241.3,242.5,244.24,247.59005,243.4,241.39,-0.008258011503697696
16658,3589,5141.905460330017,0.0,240.4,241.62371000000002,242.20847,243.39168999999998,246.76161000000002,241.39,246.29,0.02029910103981112
16659,3223,3795.700807810001,0.0,239.2,240.876145,241.8,242.77,246.72,246.29,240.85,-0.02208778269519671
16660,2845,3892.2935500399976,0.0,237.6,238.44,239.1,239.65,240.8094,240.77,238.36,-0.010009552685135176
16661,3575,4070.447272059999,0.0,237.00001,239.4,240.11001000000002,241.15,242.42,237.61,240.9902,0.014225832246117474
16662,2056,3479.3353668999994,0.0,238.8,241.04993,241.46683,242.0,242.62618999999998,240.9701,238.8,-0.009005681617760837
16663,3450,4287.66642763998,0.0,235.54965,236.6,237.0,237.69,239.58900000000003,238.8,236.8999,-0.00795686767169183
16664,3906,4591.472326660001,0.0,234.13,235.58,236.01,236.39,238.47773999999998,236.41,234.44,-0.008332980838374006
16665,4248,9028.215667200073,0.0,214.6,230.17,232.48,234.020585,235.29838999999998,234.82,221.13,-0.05829997444851375
16666,8354,9783.285177770218,0.0,203.1,210.909305,214.4,216.23001499999998,231.2,220.00002,207.07,-0.05877281283883525
16667,5643,6779.893318360048,0.0,206.3482,210.362,211.8557,212.6931,214.99,207.01,211.8,0.023138978793295108
16668,3248,4008.5603535200294,0.0,205.21658,207.26094750000001,208.79,210.14137999999997,212.83,211.86182000000002,206.51,-0.025260898825470317
16669,3215,4926.972777680038,0.0,197.5,201.15065,202.95,205.2959,207.71,206.5499,203.78392,-0.013391340300818412
16670,2387,3295.344432109967,0.0,200.34156000000002,202.350015,203.99,204.89,206.5283,203.92202,202.49,-0.007022390225440068
16671,8045,14456.877233580306,0.0,182.66,188.35,192.0,195.8001,202.66,202.65,183.65,-0.09375771033802123
16672,10840,17386.10001413042,0.0,175.0,184.5,189.0,196.7596,201.8832,183.539,195.32,0.06418799274268673
16673,6620,9346.212882280197,0.0,193.86900000000003,198.7295,201.6102,203.9799,210.0,195.42998,200.14002,0.02410090816158295
16674,5619,6515.275077439666,0.0,198.15084,200.6799,201.38,202.69,204.5,200.25233,201.854,0.007998258996537083
16675,5890,7737.115951030186,0.0,196.48947,201.71,203.2,209.15,212.42,201.78,207.49099999999999,0.02830310238874028
16676,2415,2928.0298427999865,0.0,204.0,205.689805,206.76,207.75,209.4,207.5,206.47,-0.004963855421686753
